level,notation,prefLabel,scopeNote
1,11.98,Overige godsdiensten,"Verwijzing: voor theosofie, antroposofie, vrijmetselarij, zie: 08.47 (filosofie; esoterische filosofie)"
1,11.99,Theologie en godsdienstwetenschap: overige,
0,15.00,Geschiedenis: algemeen,"Verwijzing: voor beschouwingen over (auto-)biografieën, zie: 01.30 (algemene werken; biografie, biografische woordenboeken); Verwijzing: voor nationale biografische woordenboeken, zie: 01.32 (algemene werken; nationale biografische woordenboeken)"
1,15.01,Historiografie,"Hierbij: geschiedschrijving en geschiedbeoefening in het algemeen, ook in afzonderlijke landen; Verwijzing: voor geschiedschrijving over bepaalde landen, werelddelen en grote gebiedsdelen, zie: 15.60-15.95"
1,15.02,Filosofie en theorie van de geschiedwetenschap,Is: 08.43 (filosofie; geschiedfilosofie)
1,15.03,Methoden en technieken van de geschiedwetenschap,
1,15.04,"Onderwijs, beroepsuitoefening, organisaties",
1,15.10,Deeldisciplines van de geschiedenis,"Toelichting: in deze rubriek uitsluitend studies over de beoefening van deeldisciplines als agrarische geschiedenis, cultuurgeschiedenis, economische geschiedenis etc.; Verwijzing: voor toepassingen van afzonderlijke deeldisciplines van de geschiedenis op de algemene wereldgeschiedenis, afzonderlijke perioden en/of werelddelen en landen, zie: 15.50-15.95"
1,15.20,Hulpwetenschappen: algemeen,"Toelichting: de rubrieken 15.21-15.23 bevatten ook toepassingen van de hulpwetenschappen in afzonderlijke landen en regio's;  Toelichting: 15.24-15.28 alleen voorzover ze niet elders geplaatst kunnen worden; Verwijzing: voor codicologie, zie: 06.12 (documentaire informatie; codicologie); Verwijzing: voor paleografie, zie: 15.26 (paleografie)"
2,15.21,Chronologie,
2,15.22,"Genealogie, heraldiek",
2,15.23,"Numismatiek, sigillografie",
2,15.24,Archieven,"Is: 06.90 (documentaire informatie; archieven, archivistiek); Hierbij: algemene archiefinventarissenVerwijzing: voor archiefwetenschap in het algemeen, zie: 06.00 (documentaire informatie); Verwijzing: voor archieven en inventarissen die betrekking hebben op afzonderlijke vakgebieden, zie de betreffende vakgebieden; Verwijzing: voor geschiedenis van de archiefwetenschap, zie: 06.04 (geschiedenis van de archiefwetenschap)"
2,15.25,Oorkondenleer,
3,15.26,Paleografie,Toelichting: wetenschap van de praktijk van het schrijven in de late oudheid en vroegmoderne tijdIs: 06.13 (documentaire informatie; paleografie)
2,15.27,Epigrafie,Toelichting: harde materialen
2,15.28,Papyrologie,"Hierbij: ostraka, wastafeltjes"
2,15.29,Hulpwetenschappen: overige,
1,15.30,Archeologie: algemeen,"Hierbij: ook publicaties gebaseerd op archeologische methoden (opgravingen); Hierbij: publicaties over (kunst)voorwerpen uit de klassieke oudheid (mits de nadruk ligt op het archeologische aspect); Toelichting: de rubrieken 15.30-15.39 bevatten ook archeologie van afzonderlijke landen en regio's; Verwijzing: voor bijbelse archeologie, zie: 11.35 (theologie, godsdienstwetenschappen; bijbelse oudheden, bijbelse archeologie en geografie)"
