level,notation,prefLabel@de,prefLabel@en
3,207-08,Tiermedizin,Veterinary Medical Science
3,321-01,"Anorganische Molekülchemie - Synthese, Charakterisierung",Inorganic Molecular Chemistry - Synthesis and Characterisation
3,321-02,"Organische Molekülchemie- Synthese, Charakterisierung",Organic Molecular Chemistry - Synthesis and Characterisation
3,322-01,"Festkörper- und Oberflächenchemie, Materialsynthese","Solid State and Surface Chemistry, Material Synthesis"
3,322-02,"Physikalische Chemie von Festkörpern und Oberflächen, Materialcharakterisierung","Physical Chemistry of Solids and Surfaces, Material Characterisation"
3,323-01,"Physikalische Chemie von Molekülen, Flüssigkeiten und Grenzflächen, Biophysikalische Chemie","Physical Chemistry of Molecules, Liquids and Interfaces, Biophysical Chemistry"
3,324-01,Analytische Chemie,Analytical Chemistry
3,325-01,Biologische und Biomimetische Chemie,Biological and Biomimetic Chemistry
3,325-02,Lebensmittelchemie,Food Chemistry
3,326-01,Präparative und Physikalische Chemie von Polymeren,Preparatory and Physical Chemistry of Polymers
3,326-02,Experimentelle und Theoretische Polymerphysik,Experimental and Theoretical Physics of Polymers
3,326-03,Polymermaterialien,Polymer Materials
3,327-01,"Theoretische Chemie: Elektronenstruktur, Dynamik, Simulation","Electron Structure, Dynamics, Simulation"
3,327-02,"Theoretische Chemie: Moleküle, Materialien, Oberflächen","Molecules, Materials, Surfaces"
3,307-01,Experimentelle Physik der kondensierten Materie,Experimental Condensed Matter Physics
3,307-02,Theoretische Physik der kondensierten Materie,Theoretical Condensed Matter Physics
3,308-01,"Optik, Quantenoptik, Physik der Atome, Moleküle und Plasmen","Optics, Quantum Optics, Atoms, Molecules, Plasmas"
3,309-01,"Kern- und Elementarteilchenphysik, Quantenmechanik, Relativitätstheorie, Felder","Nuclear and Elementary Particle Physics, Quantum Mechanics, Relativity, Fields"
3,310-01,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik","Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics"
3,311-01,Astrophysik und Astronomie,Astrophysics and Astronomy
3,312-01,Mathematik,Mathematics
3,313-01,Physik und Chemie der Atmosphäre,Atmospheric Science
3,313-02,"Physik, Chemie und Biologie des Meeres",Oceanography
3,314-01,"Geologie, Ingenieurgeologie, Paläontologie",Geology and Palaeontology
3,315-01,Physik des Erdkörpers,Geophysics
3,315-02,"Geodäsie, Photogrammetrie, Fernerkundung, Geoinformatik, Kartographie","Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartography"
3,316-01,"Mineralogie, Petrologie und Geochemie","Mineralogy, Petrology and Geochemistry"
3,317-01,Physische Geographie,Physical Geography
3,317-02,Humangeographie,Human Geography
3,318-01,"Hydrogeologie, Hydrologie, Limnologie, Siedlungswasserwirtschaft, Wasserchemie, Integrierte Wasser-Ressourcen Bewirtschaftung","Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management "
3,401-01,Spanende und abtragende Fertigungstechnik,Metal-Cutting and Abrasive Manufacturing Engineering
3,401-02,"Ur- und Umformtechnik, Additive Fertigungsverfahren","Primary Shaping and Reshaping Technology, Additive Manufacturing"
3,401-03,Fügetechnik und Trenntechnik,Joining and Separation Technology
3,401-04,Kunststofftechnik,Plastics Engineering
3,401-05,"Produktionssystematik, Betriebswissenschaften, Qualitätsmanagement und Fabrikplanung","Production Systems, Operations Management, Quality Management and Factory Planning"
3,401-06,Produktionsautomatisierung,Production Automation
3,402-01,"Konstruktion, Maschinenelemente, Produktentwicklung","Engineering Design, Machine Elements, Product Development"
